Date : 2025-08-01 17:15:33
Directory : /Users/kuben/projects/surge/surgelight
Total : 271 files,  31754 codes, 969 comments, 2580 blanks, all 35303 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/kuben/projects/surge/surgelight/src/components/ui/switch.tsx                                          | TypeScript JSX     |         27 |          0 |          5 |         32 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/table.tsx                                           | TypeScript JSX     |        105 |          0 |         12 |        117 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/tabs.tsx                                            | TypeScript JSX     |         59 |          0 |          8 |         67 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/textarea.tsx                                        | TypeScript JSX     |         15 |          0 |          4 |         19 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/toggle-group.tsx                                    | TypeScript JSX     |         66 |          0 |          8 |         74 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/toggle.tsx                                          | TypeScript JSX     |         42 |          0 |          6 |         48 |
| /Users/kuben/projects/surge/surgelight/src/components/ui/tooltip.tsx                                         | TypeScript JSX     |         54 |          0 |          8 |         62 |
| /Users/kuben/projects/surge/surgelight/src/env.js                                                            | JavaScript         |         14 |         23 |          4 |         41 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/analytics/CampaignAnalyticsPage.tsx            | TypeScript JSX     |         24 |          0 |          1 |         25 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/analytics/components/AnalyticsClient.tsx       | TypeScript JSX     |        682 |         31 |         43 |        756 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/analytics/index.ts                             | TypeScript         |          1 |          1 |          0 |          2 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/CampaignCreatePage.tsx                  | TypeScript JSX     |        358 |         19 |         49 |        426 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/CampaignInfo.tsx             | TypeScript JSX     |         74 |          0 |          5 |         79 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/ContentThemes.tsx            | TypeScript JSX     |         85 |          1 |          4 |         90 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/GenreSelection.tsx           | TypeScript JSX     |         62 |          4 |          6 |         72 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/ImageAssets.tsx              | TypeScript JSX     |         99 |          3 |          6 |        108 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/LyricVideoOverlay.tsx        | TypeScript JSX     |         94 |          3 |          6 |        103 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/SongAudio.tsx                | TypeScript JSX     |        130 |          6 |         12 |        148 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/SongDetails.tsx              | TypeScript JSX     |         43 |          0 |          3 |         46 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/VideoAssets.tsx              | TypeScript JSX     |         97 |          3 |          7 |        107 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/components/VideoCount.tsx               | TypeScript JSX     |        230 |          2 |         14 |        246 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/create/index.ts                                | TypeScript         |          1 |          1 |          0 |          2 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/detail/CampaignDetailPage.tsx                  | TypeScript JSX     |         24 |          0 |          1 |         25 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/detail/components/CampaignClient.tsx           | TypeScript JSX     |        632 |         30 |         63 |        725 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/detail/hooks/useCampaignData.ts                | TypeScript         |         25 |          0 |          4 |         29 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/detail/hooks/useCampaignProgress.ts            | TypeScript         |         27 |          4 |         10 |         41 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/detail/index.ts                                | TypeScript         |          1 |          1 |          0 |          2 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/index.ts                                       | TypeScript         |          5 |          3 |          1 |          9 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/list/CampaignListPage.tsx                      | TypeScript JSX     |        399 |         25 |         31 |        455 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/list/components/CampaignCard.tsx               | TypeScript JSX     |        122 |          0 |          5 |        127 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/list/components/FolderManagerDialog.tsx        | TypeScript JSX     |        814 |         43 |         62 |        919 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/list/index.ts                                  | TypeScript         |          1 |          1 |          0 |          2 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/components/DateStep.tsx                 | TypeScript JSX     |         34 |          0 |          2 |         36 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/components/ProfilesStep.tsx             | TypeScript JSX     |        133 |          1 |          6 |        140 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/components/ProgressModal.tsx            | TypeScript JSX     |         62 |          0 |          7 |         69 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/components/ReviewStep.tsx               | TypeScript JSX     |        126 |          0 |          7 |        133 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/components/StepIndicator.tsx            | TypeScript JSX     |         52 |          0 |          3 |         55 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/components/TimeStep.tsx                 | TypeScript JSX     |         44 |          0 |          2 |         46 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/components/VideoGrid.tsx                | TypeScript JSX     |         88 |          0 |          4 |         92 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/components/VideoTableView.tsx           | TypeScript JSX     |        624 |         45 |         54 |        723 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/components/ViewToggle.tsx               | TypeScript JSX     |         54 |          0 |          6 |         60 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/constants/platforms.tsx                 | TypeScript JSX     |         49 |          3 |          5 |         57 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/dialogs/ScheduleDialog.tsx              | TypeScript JSX     |        890 |         47 |        104 |      1,041 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/dialogs/UnscheduleDialog.tsx            | TypeScript JSX     |        232 |         15 |         30 |        277 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/hooks/useProfileSelection.ts            | TypeScript         |        115 |         10 |         30 |        155 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/hooks/useScheduleLogic.ts               | TypeScript         |        244 |         18 |         38 |        300 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/hooks/useVideoDownload.ts               | TypeScript         |         99 |          9 |         19 |        127 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/hooks/useVideoFiltering.ts              | TypeScript         |         67 |          0 |         17 |         84 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/index.ts                                | TypeScript         |          3 |          1 |          0 |          4 |
| /Users/kuben/projects/surge/surgelight/src/features/campaigns/videos/types/schedule.types.ts                 | TypeScript         |         36 |          0 |          6 |         42 |
| /Users/kuben/projects/surge/surgelight/src/features/credits/components/credits-dialog.tsx                    | TypeScript JSX     |        139 |          0 |          5 |        144 |
| /Users/kuben/projects/surge/surgelight/src/features/credits/components/credits-display.tsx                   | TypeScript JSX     |         30 |          0 |          5 |         35 |
| /Users/kuben/projects/surge/surgelight/src/features/credits/index.ts                                         | TypeScript         |          2 |          1 |          0 |          3 |
| /Users/kuben/projects/surge/surgelight/src/features/credits/types/credits.types.ts                           | TypeScript         |         14 |          0 |          1 |         15 |
| /Users/kuben/projects/surge/surgelight/src/features/main-analytics/AnalyticsPage.tsx                         | TypeScript JSX     |         96 |          9 |          9 |        114 |
| /Users/kuben/projects/surge/surgelight/src/features/main-analytics/components/AnalyticsContent.tsx           | TypeScript JSX     |        173 |          6 |         14 |        193 |
| /Users/kuben/projects/surge/surgelight/src/features/main-analytics/constants/metrics.constants.ts            | TypeScript         |         12 |          1 |          1 |         14 |
| /Users/kuben/projects/surge/surgelight/src/features/main-analytics/hooks/useAnalyticsData.ts                 | TypeScript         |         45 |          0 |          7 |         52 |
| /Users/kuben/projects/surge/surgelight/src/features/main-analytics/hooks/useAnalyticsFilters.ts              | TypeScript         |         53 |          4 |         10 |         67 |
| /Users/kuben/projects/surge/surgelight/src/features/main-analytics/hooks/useAnalyticsRefresh.ts              | TypeScript         |         33 |          0 |          6 |         39 |
| /Users/kuben/projects/surge/surgelight/src/features/main-analytics/index.ts                                  | TypeScript         |          3 |          3 |          2 |          8 |
| /Users/kuben/projects/surge/surgelight/src/features/main-analytics/types/analytics.types.ts                  | TypeScript         |         14 |          1 |          3 |         18 |
| /Users/kuben/projects/surge/surgelight/src/features/main-analytics/utils/analytics.utils.ts                  | TypeScript         |         34 |          1 |          5 |         40 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/components/app-sidebar.tsx                    | TypeScript JSX     |         51 |          3 |          6 |         60 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/components/custom-sidebar.tsx                 | TypeScript JSX     |         35 |          1 |          4 |         40 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/components/layout-wrapper.tsx                 | TypeScript JSX     |         35 |          0 |          5 |         40 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/components/nav-main.tsx                       | TypeScript JSX     |         37 |          0 |          3 |         40 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/components/nav-projects.tsx                   | TypeScript JSX     |         85 |          0 |          5 |         90 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/components/nav-user.tsx                       | TypeScript JSX     |        109 |          0 |          8 |        117 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/components/team-switcher.tsx                  | TypeScript JSX     |         88 |          0 |          6 |         94 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/constants/navigation.constants.ts             | TypeScript         |         54 |          0 |          1 |         55 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/index.ts                                      | TypeScript         |          1 |          1 |          0 |          2 |
| /Users/kuben/projects/surge/surgelight/src/features/navigation/types/navigation.types.ts                     | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/PricingPage.tsx                                  | TypeScript JSX     |        102 |          0 |         14 |        116 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/components/BillingManagementButton.tsx           | TypeScript JSX     |         19 |          0 |          3 |         22 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/components/PricingCard.tsx                       | TypeScript JSX     |         87 |          0 |          4 |         91 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/components/PricingCardSkeleton.tsx               | TypeScript JSX     |         19 |          0 |          2 |         21 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/components/PricingGrid.tsx                       | TypeScript JSX     |         41 |          0 |          3 |         44 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/components/PricingToggle.tsx                     | TypeScript JSX     |         33 |          0 |          3 |         36 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/components/TrialBanner.tsx                       | TypeScript JSX     |         40 |          0 |          3 |         43 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/constants/plans.constants.ts                     | TypeScript         |         71 |          0 |          2 |         73 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/dialogs/TrialDialog.tsx                          | TypeScript JSX     |        104 |          0 |          5 |        109 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/hooks/useCheckoutSession.ts                      | TypeScript         |         21 |          0 |          3 |         24 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/hooks/usePortalSession.ts                        | TypeScript         |         21 |          0 |          3 |         24 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/hooks/usePricingPlans.ts                         | TypeScript         |         32 |          0 |          4 |         36 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/hooks/useTrialManagement.ts                      | TypeScript         |         37 |          0 |          3 |         40 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/index.ts                                         | TypeScript         |          1 |          1 |          0 |          2 |
| /Users/kuben/projects/surge/surgelight/src/features/pricing/types/pricing.types.ts                           | TypeScript         |         28 |          0 |          3 |         31 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/index.ts                                  | TypeScript         |          2 |          1 |          0 |          3 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/landing/PublicReportsLandingPage.tsx      | TypeScript JSX     |         16 |          0 |          0 |         16 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/landing/index.ts                          | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/PublicReportViewerPage.tsx         | TypeScript JSX     |         16 |          0 |          3 |         19 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/components/DateRangeSelector.tsx   | TypeScript JSX     |         17 |          0 |          1 |         18 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/components/EmptyState.tsx          | TypeScript JSX     |         29 |          0 |          1 |         30 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/components/ErrorState.tsx          | TypeScript JSX     |         65 |          0 |          4 |         69 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/components/LoadingState.tsx        | TypeScript JSX     |         27 |          0 |          2 |         29 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/components/PublicReportContent.tsx | TypeScript JSX     |        129 |         14 |         17 |        160 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/components/PublicReportHeader.tsx  | TypeScript JSX     |         20 |          0 |          3 |         23 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/components/ReportHeader.tsx        | TypeScript JSX     |         12 |          0 |          1 |         13 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/constants/metrics.constants.ts     | TypeScript         |          2 |          0 |          0 |          2 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/hooks/useMetricCalculations.ts     | TypeScript         |         66 |          1 |          9 |         76 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/hooks/usePagination.ts             | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/hooks/useReportData.ts             | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/hooks/useSharedReport.ts           | TypeScript         |         55 |          0 |          8 |         63 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/index.ts                           | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/sections/CommentsView.tsx          | TypeScript JSX     |         19 |          0 |          3 |         22 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/sections/PerformanceCharts.tsx     | TypeScript JSX     |         87 |          0 |          3 |         90 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/sections/PerformanceSummary.tsx    | TypeScript JSX     |         48 |          0 |          2 |         50 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/types/index.ts                     | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/types/public-report.types.ts       | TypeScript         |         87 |         10 |         15 |        112 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/utils/date-formatting.utils.ts     | TypeScript         |          7 |          0 |          0 |          7 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/utils/error-handling.utils.ts      | TypeScript         |         15 |          0 |          4 |         19 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/utils/metric-calculations.ts       | TypeScript         |         37 |          0 |          5 |         42 |
| /Users/kuben/projects/surge/surgelight/src/features/public-reports/viewer/utils/metric-info.tsx              | TypeScript JSX     |         28 |          0 |          1 |         29 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/create/ReportCreatePage.tsx                      | TypeScript JSX     |         17 |          0 |          3 |         20 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/create/hooks/useCreateReport.ts                  | TypeScript         |         35 |          2 |          4 |         41 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/create/index.ts                                  | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/detail/ReportDetailPage.tsx                      | TypeScript JSX     |          9 |          0 |          2 |         11 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/detail/components/ReportAnalyticsClient.tsx      | TypeScript JSX     |        497 |         29 |         47 |        573 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/detail/hooks/useReportActions.ts                 | TypeScript         |         63 |          0 |          6 |         69 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/detail/hooks/useReportAnalytics.ts               | TypeScript         |         31 |          0 |          4 |         35 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/detail/index.ts                                  | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/edit/ReportEditPage.tsx                          | TypeScript JSX     |         57 |          2 |          9 |         68 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/edit/hooks/useEditReport.ts                      | TypeScript         |         36 |          2 |          4 |         42 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/edit/index.ts                                    | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/index.ts                                         | TypeScript         |          4 |          1 |          0 |          5 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/list/ReportsListPage.tsx                         | TypeScript JSX     |        102 |          1 |         15 |        118 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/list/components/DeleteReportDialog.tsx           | TypeScript JSX     |         55 |          0 |          2 |         57 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/list/components/ReportsTable.tsx                 | TypeScript JSX     |        103 |          0 |          2 |        105 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/list/index.ts                                    | TypeScript         |          1 |          0 |          0 |          1 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/shared/components/ReportForm.tsx                 | TypeScript JSX     |        230 |         13 |         17 |        260 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/shared/index.ts                                  | TypeScript         |          3 |          0 |          0 |          3 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/shared/types/report.types.ts                     | TypeScript         |         62 |          0 |          9 |         71 |
| /Users/kuben/projects/surge/surgelight/src/features/reports/shared/utils/report.utils.ts                     | TypeScript         |         21 |          0 |          6 |         27 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/SocialAccountsPage.tsx                   | TypeScript JSX     |        136 |          5 |         15 |        156 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/components/PlatformIcon.tsx              | TypeScript JSX     |         17 |          0 |          2 |         19 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/components/ProfileCard.tsx               | TypeScript JSX     |        101 |          0 |          5 |        106 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/components/ProfileList.tsx               | TypeScript JSX     |         45 |          0 |          4 |         49 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/components/SocialAccountCard.tsx         | TypeScript JSX     |         47 |          0 |          2 |         49 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/constants/platforms.ts                   | TypeScript         |         16 |          0 |          2 |         18 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/dialogs/CreateProfileDialog.tsx          | TypeScript JSX     |         91 |          0 |          6 |         97 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/dialogs/DeleteProfileDialog.tsx          | TypeScript JSX     |        100 |          0 |          7 |        107 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/dialogs/SyncDialog.tsx                   | TypeScript JSX     |        169 |          5 |         16 |        190 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/hooks/useProfileActions.ts               | TypeScript         |         38 |          0 |          6 |         44 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/hooks/useProfileSync.ts                  | TypeScript         |         82 |          0 |         18 |        100 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/hooks/useProfiles.ts                     | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/index.ts                                 | TypeScript         |          2 |          2 |          1 |          5 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/types/social-accounts.types.ts           | TypeScript         |         40 |          0 |          6 |         46 |
| /Users/kuben/projects/surge/surgelight/src/features/social-accounts/utils/platform.utils.ts                  | TypeScript         |         19 |          0 |          2 |         21 |
| /Users/kuben/projects/surge/surgelight/src/hooks/use-mobile.ts                                               | TypeScript         |         15 |          0 |          5 |         20 |
| /Users/kuben/projects/surge/surgelight/src/lib/utils.ts                                                      | TypeScript         |         30 |          0 |          9 |         39 |
| /Users/kuben/projects/surge/surgelight/src/middleware.ts                                                     | TypeScript         |         23 |          7 |          6 |         36 |
| /Users/kuben/projects/surge/surgelight/src/styles/globals.css                                                | CSS                |        119 |          0 |          7 |        126 |
| /Users/kuben/projects/surge/surgelight/src/utils/uploadthing.ts                                              | TypeScript         |          7 |          0 |          3 |         10 |
| /Users/kuben/projects/surge/surgelight/tailwind.config.ts                                                    | TypeScript         |         93 |          0 |          2 |         95 |
| /Users/kuben/projects/surge/surgelight/tsconfig.json                                                         | JSON with Comments |         35 |          4 |          4 |         43 |
| Total                                                                                                        |                    |     31,754 |        969 |      2,580 |     35,303 |
+--------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
